Name,Age,Sex,Height in Metres,Weight in Kg,Home Postcode,Savings in Pounds,Random Number
John,15,M,1.72,71,CF24 3AG,1000,737.0166946
Jo,14,M,1.85,73,CF27 4HL,500,549.9774216
Jill,21,F,1.57,49,SW6 4JL,357,509.8740468
James,24,M,1.59,58,SW5 3JL,10930,749.5983647
Jenny,74,F,1.63,70,BR21 4YE,465029,826.845343
Juliet,15,F,1.62,45,CF14 7BR,930,361.1762336
Jackie,3,F,1.65,60,NP24 3AG,10,461.7101544
Julien,37,M,2.01,100,NP24 3AG,102930,972.6716355
Joe,19,M,1.92,75,NP7 5BD,2930,360.0188418
Jeremiah,39,M,1.54,70,NP15 1AE,84953,210.9413423
Jim,17,M,1.73,83,CF35 5AS,470320,890.36153
Julie,2,F,1.62,45,CF72 8JY,1.5,689.4225681
Jo,7,F,1.62,51, CF72 9DP,200,967.2400366
